128 128
4.368777283898306 0.0 1.7685231845059656e-13
4.417864669110647 0.0 1.8517276036636605e-13
4.466952054322987 0.0 1.9278309605010227e-13
4.516039439535327 0.0 1.986619534966093e-13
4.565126824747668 0.0 2.019188093068752e-13
4.614214209960009 0.0 2.0186694822784024e-13
4.663301595172349 0.0 1.9808670301142317e-13
4.71238898038469 0.0 1.9046716439128248e-13
4.76147636559703 0.0 1.7921686526499907e-13
4.81056375080937 0.0 1.6483875561686028e-13
4.859651136021712 0.0 1.4807108087384417e-13
4.908738521234052 0.0 1.298020824621761e-13
4.957825906446392 0.0 1.1097122945235765e-13
5.006913291658733 0.0 9.247182287027768e-14
5.056000676871073 0.0 7.506885434722068e-14
5.105088062083414 0.0 5.934232094904613e-14
5.154175447295755 0.0 4.566083230630856e-14
5.203262832508095 0.0 3.418465531869508e-14
5.252350217720435 0.0 2.4892611584904593e-14
5.301437602932776 0.0 1.7624349707091567e-14
5.350524988145116 0.0 1.21287549779255e-14
5.399612373357457 0.0 8.110371065103828e-15
5.448699758569798 0.0 5.268048586320681e-15
5.497787143782138 0.0 3.3228250875414567e-15
5.546874528994478 0.0 2.0345941778633574e-15
5.595961914206819 0.0 1.2089923553444973e-15
5.64504929941916 0.0 6.969565670953801e-16
5.6941366846315 0.0 3.896572971046215e-16
5.743224069843841 0.0 2.112081427853385e-16
5.792311455056181 0.0 1.1095383933779305e-16
5.841398840268521 0.0 5.647141333280838e-17
5.890486225480862 0.0 2.783679051111145e-17
5.939573610693203 0.0 1.3285057206571845e-17
5.988660995905543 0.0 6.136320679330027e-18
6.037748381117884 0.0 2.74184750544267e-18
6.086835766330224 0.0 1.1830817498457992e-18
6.135923151542564 0.0 4.870834752002943e-19
6.1850105367549055 0.0 1.7369334576570701e-19
6.234097921967246 0.0 1.8703383640368244e-21
6.283185307179586 0.0 3.0410864120731727e-19
0.0 0.04908738521234052 1.2062817851296632e-18
0.04908738521234052 0.04908738521234052 2.5445511035791983e-18
