128 128
0.9817477042468103 0.04908738521234052 2.0885374083145223e-11
1.030835089459151 0.04908738521234052 2.4911906020012513e-11
1.0799224746714913 0.04908738521234052 2.9662489991819145e-11
1.1290098598838318 0.04908738521234052 3.5253847678944327e-11
1.1780972450961724 0.04908738521234052 4.181803768861405e-11
1.227184630308513 0.04908738521234052 4.950360132811786e-11
1.2762720155208536 0.04908738521234052 5.847655612172824e-11
1.325359400733194 0.04908738521234052 6.892115412000568e-11
1.3744467859455345 0.04908738521234052 8.104030509731223e-11
1.423534171157875 0.04908738521234052 9.505554708145135e-11
1.4726215563702154 0.04908738521234052 1.1120642913641887e-10
1.521708941582556 0.04908738521234052 1.2974915507262891e-10
1.5707963267948966 0.04908738521234052 1.5095432329565878e-10
1.6198837120072371 0.04908738521234052 1.7510358921600472e-10
1.6689710972195777 0.04908738521234052 2.024850748042203e-10
1.718058482431918 0.04908738521234052 2.3338735761074576e-10
1.7671458676442586 0.04908738521234052 2.6809189176020994e-10
1.8162332528565992 0.04908738521234052 3.068637490682405e-10
1.8653206380689396 0.04908738521234052 3.499406223916141e-10
1.9144080232812801 0.04908738521234052 3.975201080629476e-10
1.9634954084936207 0.04908738521234052 4.497453814151038e-10
2.012582793705961 0.04908738521234052 5.066894993178933e-10
2.061670178918302 0.04908738521234052 5.683387048703895e-10
2.110757564130642 0.04908738521234052 6.345752681086234e-10
2.1598449493429825 0.04908738521234052 7.051605661524369e-10
2.2089323345553233 0.04908738521234052 7.797192767697398e-10
2.2580197197676637 0.04908738521234052 8.57725717668334e-10
2.3071071049800045 0.04908738521234052 9.384934935496872e-10
2.356194490192345 0.04908738521234052 1.0211696951375962e-09
2.405281875404685 0.04908738521234052 1.1047349086846432e-09
2.454369260617026 0.04908738521234052 1.1880102208336581e-09
2.5034566458293663 0.04908738521234052 1.2696722247400596e-09
2.552544031041707 0.04908738521234052 1.348276736943029e-09
2.6016314162540475 0.04908738521234052 1.4222915168051681e-09
2.650718801466388 0.04908738521234052 1.490137748784543e-09
2.6998061866787286 0.04908738521234052 1.5502394232234665e-09
2.748893571891069 0.04908738521234052 1.6010790693844267e-09
2.7979809571034093 0.04908738521234052 1.6412576052952768e-09
2.84706834231575 0.04908738521234052 1.669555434976413e-09
2.8961557275280905 0.04908738521234052 1.6849914149178942e-09
2.945243112740431 0.04908738521234052 1.6868759993499324e-09
2.9943304979527716 0.04908738521234052 1.6748548214962432e-09
3.043417883165112 0.04908738521234052 1.6489392222784143e-09
3.0925052683774528 0.04908738521234052 1.6095208194600074e-09
3.141592653589793 0.04908738521234052 1.5573681062004303e-09
3.1906800388021335 0.04908738521234052 1.4936042282437737e-09
3.2397674240144743 0.04908738521234052 1.4196664265122911e-09
3.2888548092268146 0.04908738521234052 1.3372490289298236e-09
3.3379421944391554 0.04908738521234052 1.2482331946622427e-09
3.3870295796514958 0.04908738521234052 1.154607714749978e-09
3.436116964863836 0.04908738521234052 1.0583859289772308e-09
3.485204350076177 0.04908738521234052 9.61524135987143e-10
3.5342917352885173 0.04908738521234052 8.658467057442358e-10
3.5833791205008576 0.04908738521234052 7.729824604584631e-10
3.6324665057131984 0.04908738521234052 6.843158394213646e-10
3.6815538909255388 0.04908738521234052 6.009550221101475e-10
3.730641276137879 0.04908738521234052 5.237177041016298e-10
3.77972866135022 0.04908738521234052 4.5313376706902003e-10
3.8288160465625602 0.04908738521234052 3.894628131792626e-10
3.877903431774901 0.04908738521234052 3.327235705510937e-10
3.9269908169872414 0.04908738521234052 2.827315983620805e-10
3.9760782021995817 0.04908738521234052 2.391415513671234e-10
4.025165587411922 0.04908738521234052 2.0149047413166158e-10
4.074252972624263 0.04908738521234052 1.6923911115436205e-10
4.123340357836604 0.04908738521234052 1.4180893744783483e-10
4.172427743048944 0.04908738521234052 1.1861342155773818e-10
4.221515128261284 0.04908738521234052 9.908282246994993e-11
4.270602513473625 0.04908738521234052 8.268250645166099e-11
4.319689898685965 0.04908738521234052 6.892529078921365e-11
4.368777283898306 0.04908738521234052 5.737865058495255e-11
4.417864669110647 0.04908738521234052 4.7667763477643046e-11
4.466952054322987 0.04908738521234052 3.947534205809732e-11
4.516039439535327 0.04908738521234052 3.253906232024316e-11
4.565126824747668 0.04908738521234052 2.664720099749372e-11
4.614214209960009 0.04908738521234052 2.1632913162308315e-11
